id,name,city,province,lat,lng,has_er,data_source,wait_metric,stat_type
bc_providencehealthcare,Providence Health Care - Mount Saint Joseph Hospital,Vancouver,BC,49.258002,-123.095299,t,edwaittimes,time_to_physician,current_estimate
bc_richmondhospital,Richmond Hospital,Richmond,BC,49.168971,-123.146577,t,edwaittimes,time_to_physician,current_estimate
bc_ridgemeadowshospital,Ridge Meadows Hospital,Maple Ridge,BC,49.216189,-122.63008,t,edwaittimes,time_to_physician,current_estimate
bc_royalcolumbianhospit,Royal Columbian Hospital,New Westminster,BC,49.226414,-122.891637,t,edwaittimes,time_to_physician,current_estimate
bc_squamishgeneralhospi,Squamish General Hospital,Squamish,BC,49.697911,-123.141176,t,edwaittimes,time_to_physician,current_estimate
bc_stmaryshospitalseche,St. Mary's Hospital / Sechelt-Shishalh Hospital,Sechelt,BC,49.474619,-123.749631,t,edwaittimes,time_to_physician,current_estimate
bc_stpaulshospital,St. Paul's Hospital,Vancouver,BC,49.280516,-123.128187,t,edwaittimes,time_to_physician,current_estimate
bc_surreymemorialhospit,Surrey Memorial Hospital,Surrey,BC,49.176595,-122.841774,t,edwaittimes,time_to_physician,current_estimate
bc_ubchospital,Ubc Hospital,Vancouver,BC,49.263156,-123.246002,t,edwaittimes,time_to_physician,current_estimate
bc_vancouvergeneralhosp,Vancouver General Hospital,Vancouver,BC,49.261616,-123.123911,t,edwaittimes,time_to_physician,current_estimate
bc_whistlerhealthcarece,Whistler Health Care Centre,Whistler,BC,50.11982,-122.955186,t,edwaittimes,time_to_physician,current_estimate
mb_concordiahospital,Concordia Hospital,Winnipeg,MB,49.913511,-97.06463,t,wrha,time_to_physician,current_estimate
mb_gracegeneralhospital,Grace General Hospital,Winnipeg,MB,49.882355,-97.276776,t,wrha,time_to_physician,current_estimate
mb_healthsciencescentre,Health Sciences Centre - Adult,Winnipeg,MB,49.904682,-97.159448,t,wrha,time_to_physician,current_estimate
mb_healthsciencescentrec,Health Sciences Centre - Children's,Winnipeg,MB,49.904982000000004,-97.159448,t,wrha,time_to_physician,current_estimate
mb_sevenoaksgeneralhosp,Seven Oaks General Hospital,Winnipeg,MB,49.955313,-97.146103,t,wrha,time_to_physician,current_estimate
mb_stbonifacegeneralhos,St. Boniface General Hospital,Winnipeg,MB,49.884337,-97.12484,t,wrha,time_to_physician,current_estimate
mb_victoriageneralhospi,Victoria General Hospital - Winnipeg,Winnipeg,MB,49.806755,-97.152739,t,wrha,time_to_physician,current_estimate
nb_campbelltonregionalh,Campbellton Regional Hospital,Campbellton,NB,47.993057,-66.666574,t,nb_arcgis,total_visit,current_estimate
nb_centrehospitalieruni,Centre Hospitalier Universitaire Dr-Georges-l.-Dumont,Moncton,NB,46.098025,-64.786214,t,nb_arcgis,total_visit,current_estimate
